	4203	4225	3954	3870	4262	3973	4104	4030	3549	3710	4408	3692	3426	3480	3774	4706
3976		3907	3129	2835	3467	3535	3375	3403	3447	3125	3589	2711	2727	2769	3213	3911
4092	3534		2958	2562	3092	3394	2922	2968	3024	2792	3136	2438	2388	2496	2760	3650
4134	3564	3532		2124	2654	3232	2484	2530	2472	2354	2698	2000	1950	2058	2322	3212
3156	2628	2794	1926		2060	2284	1890	1936	1818	1760	2104	1406	1356	1464	1728	2618
3945	3207	3301	2721	2325		2995	2685	2731	2385	2555	2899	2201	2151	2259	2523	3413
3873	3057	3217	2499	2103	2633		2463	2509	2247	2333	2677	1979	1929	2037	2301	3191
3855	3396	3400	2814	2484	2834	3232		2836	2856	2660	3022	2072	2082	2130	2664	3404
3909	3039	3163	2535	2139	2669	2833	2499		2415	2369	2713	2015	1965	2073	2337	3227
3216	2472	2542	1944	1512	2078	2254	1908	1954		1778	2122	1388	1416	1446	1746	2636
3741	2937	2899	2271	1875	2405	2593	2235	2281	2127		2449	1751	1701	1809	2073	2963
3746	3849	3709	2973	2805	3185	3493	3129	2923	2955	2957		2393	2403	2451	2979	3713
2910	2646	2572	1788	1758	2126	2320	2082	2062	2076	1796	2296		1356	1404	1830	2570
2877	2151	2065	1665	1269	1799	1759	1629	1675	1329	1499	1843	1145		1203	1467	2357
3219	2919	2827	2073	1935	2285	2773	2169	2023	2055	2057	2323	1757	1473		2079	2705
3467	2853	3055	2385	1881	2513	2767	2349	2281	2067	1979	2563	1757	1779	1815		2831
4363	4476	4414	3630	3576	3968	3928	3900	3934	3966	3662	4114	3164	3174	3222	3696
