1	3	3
2	0	0
3	0	0
4	2	8
5	9	45
6	2	12
7	1	7
8	0	0
9	6	54
10	1	10
11	15	165
12	0	0
13	9	117
14	11	154
15	0	0
16	0	0
17	12	204
18	0	0
19	0	0
20	3	60
21	3	63
22	1	22
23	16	368
24	0	0
25	7	175
26	9	234
27	5	135
28	0	0
29	15	435
30	1	30
1	53	53
2	59	118
1	53	53
2	59	118
1	53	53
2	59	118
1	56	56
2	62	124
1	38	38
2	16	32
3	17	51
1	3	3
2	0	0
3	0	0
4	2	8
5	9	45
6	2	12
7	1	7
8	0	0
9	6	54
10	1	10
11	15	165
12	0	0
13	9	117
14	11	154
15	0	0
16	0	0
17	12	204
18	0	0
19	0	0
20	3	60
21	3	63
22	1	22
23	16	368
24	0	0
25	7	175
26	9	234
27	5	135
28	0	0
29	15	435
30	1	30
1	3	3
2	0	0
3	0	0
4	2	8
5	9	45
6	2	12
7	1	7
8	0	0
9	6	54
10	1	10
11	15	165
12	0	0
13	9	117
14	11	154
15	0	0
16	0	0
17	12	204
18	0	0
19	0	0
20	3	60
21	3	63
22	1	22
23	16	368
24	0	0
25	7	175
26	9	234
27	5	135
28	0	0
29	15	435
30	1	30
